POP,Fan 1,Fan 2,Fan 3,Fan 4
HCMP610,50,50,50,0
CTOP036,48,47,47,0
BTNP043,53,38,41,0
BTNP006,56,89,57,0
BTNP045,53,50,49,0
HCMP681,56,51,53,0
BTNP008,49,49,49,0
BTNP023,54,39,53,0
BTNP011,49,54,49,0
BTNP010,57,58,57,0
HCMP644,49,51,50,0
CMUP004,48,49,48,0
CMUP008,48,48,48,0
BTNP018,51,48,47,0
BTNP031,53,48,52,0
BTNP046,52,49,48,0
BTNP012,49,49,49,0
BTNP052,48,49,48,0
CMUP028,42,42,37,0
CMUP029,57,57,57,0
BTNP034,0,0,0,0
BTNP017,49,50,50,0
BTNP044,54,56,48,0
BTNP001,48,48,49,0
BTNP003,50,50,49,0
BTNP019,57,57,58,0
CTOP009,57,58,57,0
CMUP030,49,49,49,0
BTNP007,49,48,49,0
CMUP013,49,48,49,0
BTNP047,49,49,50,0
BTNP009,56,55,56,0
BTNP048,28,28,27,0
BTNP030,64,57,48,0
HCMP609,50,50,51,0
BTNP016,49,48,48,0
HCMP697,56,57,56,0
HCMP635,49,49,48,0
HCMP655,47,44,47,0
BTNP042,48,48,50,0
BTNP032,55,60,51,0
BTNP050,48,52,51,0
CMUP002,49,48,48,0
BTNP002,51,49,54,0
BTNP014,53,51,53,0
BTNP020,47,48,48,0
HCMP624,50,50,50,0
CTOP049,57,57,56,0
CMUP027,48,48,49,0
DNGP103,48,48,49,0
CTOP065,50,50,50,0
DLKP023,50,50,50,0
DNGP051,51,51,57,0
CTOP070,0,0,0,0
DLKP009,47,47,47,0
CTOP059,48,51,49,0
CTOP034,56,47,49,0
CTOP068,47,48,47,0
DNGP135,43,43,43,0
DLKP024,49,56,49,0
DLKP006,48,48,48,0
DNGP138,48,48,48,0
DNGP107,51,51,50,0
DLKP001,75,74,73,0
DLKP027,53,76,54,0
CTOP040,48,49,48,0
DLKP029,49,49,49,0
DLKP020,47,44,77,0
DLKP026,48,49,50,0
CTOP061,49,49,48,0
CTOP050,67,45,69,0
DNGP142,48,49,48,0
DLKP019,49,48,49,0
CTOP017,49,49,48,0
CTOP042,49,52,53,0
DNGP146,48,49,48,49
DNGP151,48,49,49,0
DLKP032,44,44,44,0
CTOP060,96,57,63,0
CTOP063,49,50,49,0
DLKP030,48,78,48,0
DLKP025,49,48,49,0
CTOP057,52,51,53,0
DNGP145,49,49,48,0
DNGP120,0,0,0,0
CTOP037,48,58,47,0
DLKP034,49,49,49,0
CTOP071,52,49,50,0
DNGP159,54,54,55,0
CTOP041,46,45,78,0
DNGP105,50,49,48,0
DNGP150,50,51,50,0
DLKP033,48,48,48,0
DNGP137,48,48,48,0
CTOP067,49,48,49,0
CTOP047,48,53,51,0
CTOP023,50,44,48,0
DLKP031,0,0,0,0
DLKP035,46,47,75,0
DNIP103,0,0,0,0
DNGP123,46,49,47,0
DNIP079,56,50,50,0
DNIP092,48,48,48,48
DNGP111,61,64,65,0
DNIP122,48,48,49,0
DNIP037,0,0,0,0
DNGP134,51,51,51,0
DNIB005,50,48,58,0
DNGP154,50,54,48,0
DNIP022,0,0,0,0
DNGP144,47,47,47,0
DNGP115,48,48,48,0
DNGP147,59,62,61,59
DNGP092,48,49,48,0
DNGP113,52,48,48,0
DNIP078,50,50,50,0
DNIP049,47,50,49,0
DNIP096,48,48,48,0
DNIP087,50,50,50,0
DNIP099,49,48,48,0
DNIP068,48,48,48,0
DNIB007,36,35,36,0
DNGP148,47,47,51,0
DNIP091,54,54,54,0
DNIP081,0,0,0,0
DNGP110,50,49,50,0
DNIP008,48,48,48,0
DNIP027,50,50,50,0
DNGP152,52,50,48,0
DNIP082,48,48,48,0
DNGP130,48,48,61,0
DNIP083,49,48,48,0
DNGP143,0,0,0,0
DNGP018,48,48,48,0
DNIP121,73,73,73,0
DNIP066,55,55,57,0
DNGP019,48,48,48,0
DNIP044,45,54,45,0
DNGP153,58,52,50,0
DNIP090,75,74,75,0
DNGP156,48,49,48,0
DNIP072,48,48,48,0
DNIP033,42,42,42,0
DNGP141,46,48,47,0
DNGP108,50,50,49,0
DNIP108,50,50,50,0
DNIP080,49,49,48,0
DNIP093,50,50,50,0
DNIP076,55,55,55,0
GLIP037,0,0,0,0
DNIP100,0,0,0,0
DNIP020,49,48,48,0
DNIP062,66,64,88,0
DTPP025,51,47,51,0
DNIP128,58,57,56,0
GLIP042,47,48,57,0
GLIP014,48,48,79,0
DNIP110,51,51,51,0
DNIP125,46,46,45,0
DTPP016,46,46,46,0
GLIP036,59,48,46,0
DTPP014,52,51,50,0
DNIP132,49,49,47,0
DNIP070,51,52,51,0
DNIP060,49,48,49,0
DNIP063,49,51,50,0
DNIP109,49,48,50,0
DNIP133,51,50,49,0
DNIB006,48,48,48,48
DTPP026,52,49,54,0
DTPP023,50,51,48,0
DNIP018,5,49,49,0
DNIP106,48,50,48,0
DNIP025,49,49,49,0
DTPP009,49,50,50,0
DNIP129,47,47,46,0
DTPP020,49,50,50,0
GLIP040,49,48,48,0
DNIP053,49,49,49,0
DNIP134,48,48,48,0
GLIP038,49,49,49,0
DTPP022,49,50,47,0
DNIP127,49,48,48,0
DNIP126,49,49,49,0
GLIP028,50,49,49,0
DTPP019,50,50,50,0
DTPP027,47,47,47,0
GLIP041,48,48,48,0
DNIP105,50,50,50,0
DNIP039,48,48,48,0
GLIP035,48,49,48,0
DNIP030,49,50,51,0
DNIP055,48,49,48,0
DNIP050,49,50,49,0
DNIP088,55,52,51,0
DNIP064,68,83,65,0
DNIP130,56,61,47,0
GLIP034,48,48,48,0
GLIP027,50,50,50,0
HUEP118,0,0,0,0
HUEP087,0,0,0,0
HUEP102,0,0,0,0
HGGP017,44,52,44,0
HUEP096,66,62,48,0
HGGP016,49,49,49,0
HUEP114,50,51,50,0
HGGP015,50,49,50,0
HUEP098,49,49,47,0
HUEP134,50,50,49,0
HUEP136,0,0,0,0
HUEP028,0,0,0,0
HUEP120,50,50,50,0
HGGP003,0,0,0,0
HUEP135,51,51,51,0
HUEP100,60,56,56,0
HUEP133,49,49,48,0
HUEP089,50,50,50,0
GLIP015,48,48,48,0
HGGP013,51,50,50,0
HUEP091,0,0,0,0
HUEP002,48,48,48,0
HUEP031,0,0,0,0
HGGP006,49,48,49,0
HUEP122,50,49,50,0
HUEP113,0,0,0,0
HGGP018,49,49,49,0
HUEP107,48,48,50,0
HUEP108,57,53,63,0
HGGP007,48,48,48,0
HGGP004,49,49,48,0
HUEP099,0,0,0,0
GLIP033,48,49,48,0
